"Account.External_Account_Name__c","LastName","FirstName","MiddleName","Suffix","RecordType.Name","OtherStreet","OtherCity","OtherState","OtherPostalCode","MailingStreet","MailingCity","MailingState","MailingPostalCode","MobilePhone","HomePhone","OtherPhone","Email","Birthdate","Deleted__c","External_Guarantor_Id__c","External_ID__c","Guarantor__r.Profile_Pointer_ID__c","Invoice_Offset_Date__c","Medical_Record_Number__c","Origin_Code__c","Patient_Id__c","Preferred_Contact__c","Profile_Pointer_ID__c","Sex__c","Skip_Invoice_Stmt_Until__c","Social_Security_Number__c","Statement_Preference__c","Verified_Email__c","Vital_Status__c"
"Makana Health","Green","Charles","","","External Guarantor","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","1971-06-12","false","181215.0","66754562","200000.0","","A02497658","TOLEDO_STAR","","","","M","","XXX-XX-6263","","false",""
"Makana Health","Green","Charles","","","External Guarantor","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","1971-06-12","false","181216.0","93986621","200001.0","","A02497658","TOLEDO_STAR","","","","M","","XXX-XX-6263","","false",""
"Makana Health","Green","Charles","","","External Guarantor","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","1971-06-12","false","181217.0","40670884","200002.0","","A02497658","TOLEDO_STAR","","","","M","","XXX-XX-6263","","false",""
"Makana Health","Green","Charles","","","External Guarantor","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","1971-06-12","false","181218.0","64233681","200003.0","","A02497658","TOLEDO_STAR","","","","M","","XXX-XX-6263","","false",""
"Makana Health","Green","Charles","","","External Guarantor","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","1971-06-12","false","181219.0","76716152","200004.0","","A02497658","TOLEDO_STAR","","","","M","","XXX-XX-6263","","false",""
"Makana Health","Green","Charles","","","External Guarantor","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","1971-06-12","false","181220.0","07564129","200005.0","","A02497658","TOLEDO_STAR","","","","M","","XXX-XX-6263","","false",""
"Makana Health","Green","Charles","","","External Guarantor","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","1971-06-12","false","181221.0","33665173","200006.0","","A02497658","TOLEDO_STAR","","","","M","","XXX-XX-6263","","false",""
"Makana Health","Green","Charles","","","External Guarantor","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","1971-06-12","false","181222.0","70729146","200007.0","","A02497658","TOLEDO_STAR","","","","M","","XXX-XX-6263","","false",""
"Makana Health","Green","Charles","","","External Guarantor","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","1971-06-12","false","181223.0","82808104","200008.0","","A02497658","TOLEDO_STAR","","","","M","","XXX-XX-6263","","false",""
"Makana Health","Green","Charles","","","External Guarantor","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","1971-06-12","false","181224.0","96181634","200009.0","","A02497658","TOLEDO_STAR","","","","M","","XXX-XX-6263","","false",""
