"Account.sPRS__External_Account_Name__c","LastName","FirstName","MiddleName","Suffix","RecordType.Name","OtherStreet","OtherCity","OtherState","OtherPostalCode","MailingStreet","MailingCity","MailingState","MailingPostalCode","MobilePhone","HomePhone","OtherPhone","Email","Birthdate","sPRS__Deleted__c","sPRS__External_Guarantor_Id__c","sPRS__External_ID__c","sPRS__Guarantor__r.sPRS__Guarantor_Id__c","sPRS__Invoice_Offset_Date__c","sPRS__Medical_Record_Number__c","sPRS__Origin_Code__c","sPRS__Guarantor_Id__c","sPRS__Sex__c","sPRS__Social_Security_Number__c","sPRS__Patient_Satisfaction__c","sPRS__Payment_Proclivity_Score__c"
"Makana Health","Green","Charles","","","Guarantor","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","1971-06-12","FALSE","","","","7","A02497658","","200000","M","XXX-XX-6263","4.7","720"
"Makana Health","Green","Charles","","","Guarantor","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","1971-06-12","FALSE","","","","7","A02497658","","200001","M","XXX-XX-6263","4.7","720"
"Makana Health","Green","Charles","","","Guarantor","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","1971-06-12","FALSE","","","","7","A02497658","","200002","M","XXX-XX-6263","4.7","720"
"Makana Health","Green","Charles","","","Guarantor","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","1971-06-12","FALSE","","","","7","A02497658","","200003","M","XXX-XX-6263","4.7","720"
"Makana Health","Green","Charles","","","Guarantor","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","1971-06-12","FALSE","","","","7","A02497658","","200004","M","XXX-XX-6263","4.7","720"
"Makana Health","Green","Charles","","","Guarantor","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","1971-06-12","FALSE","","","","7","A02497658","","200005","M","XXX-XX-6263","4.7","720"
"Makana Health","Green","Charles","","","Guarantor","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","1971-06-12","FALSE","","","","7","A02497658","","200006","M","XXX-XX-6263","4.7","720"
"Makana Health","Green","Charles","","","Guarantor","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","1971-06-12","FALSE","","","","7","A02497658","","200007","M","XXX-XX-6263","4.7","720"
"Makana Health","Green","Charles","","","Guarantor","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","1971-06-12","FALSE","","","","7","A02497658","","200008","M","XXX-XX-6263","4.7","720"
"Makana Health","Green","Charles","","","Guarantor","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","1971-06-12","FALSE","","","","7","A02497658","","200009","M","XXX-XX-6263","4.7","720"
"Makana Health","Green","Charles","","","Guarantor","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","1971-06-12","FALSE","","","","7","A02497658","","200010","M","XXX-XX-6263","4.7","720"
"Makana Health","Green","Charles","","","Guarantor","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","1971-06-12","FALSE","","","","7","A02497658","","200011","M","XXX-XX-6263","4.7","720"
"Makana Health","Green","Charles","","","Guarantor","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","1971-06-12","FALSE","","","","7","A02497658","","200012","M","XXX-XX-6263","4.7","720"
"Makana Health","Green","Charles","","","Guarantor","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","1971-06-12","FALSE","","","","7","A02497658","","200013","M","XXX-XX-6263","4.7","720"
"Makana Health","Green","Charles","","","Guarantor","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","1971-06-12","FALSE","","","","7","A02497658","","200014","M","XXX-XX-6263","4.7","720"
"Makana Health","Green","Charles","","","Guarantor","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","1971-06-12","FALSE","","","","7","A02497658","","200015","M","XXX-XX-6263","4.7","720"
"Makana Health","Green","Charles","","","Guarantor","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","1971-06-12","FALSE","","","","7","A02497658","","200016","M","XXX-XX-6263","4.7","720"
"Makana Health","Green","Charles","","","Guarantor","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","1971-06-12","FALSE","","","","7","A02497658","","200017","M","XXX-XX-6263","4.7","720"
"Makana Health","Green","Charles","","","Guarantor","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","1971-06-12","FALSE","","","","7","A02497658","","200018","M","XXX-XX-6263","4.7","720"
"Makana Health","Green","Charles","","","Guarantor","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","1971-06-12","FALSE","","","","7","A02497658","","200019","M","XXX-XX-6263","4.7","720"
"Makana Health","Green","Charles","","","Guarantor","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","1971-06-12","FALSE","","","","7","A02497658","","200020","M","XXX-XX-6263","4.7","720"
