"Account.External_Account_Name__c","LastName","FirstName","MiddleName","Suffix","RecordType.Name","OtherStreet","OtherCity","OtherState","OtherPostalCode","MailingStreet","MailingCity","MailingState","MailingPostalCode","MobilePhone","HomePhone","OtherPhone","Email","Birthdate","Deleted__c","External_Guarantor_Id__c","External_ID__c","Guarantor__r.Guarantor_Id__c","Invoice_Offset_Date__c","Medical_Record_Number__c","Origin_Code__c","Patient_Id__c","Guarantor_Id__c","Sex__c","Social_Security_Number__c"
"Makana Health","Green","Charles","","","Patient","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","1971-06-12","false","","A02497658","","","A02497658","TOLEDO_STAR","200020.0","","M","XXX-XX-0724"
"Makana Health","Green","Charles","","","Patient","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","1971-06-12","false","","A02497658","","","A02497658","TOLEDO_STAR","200072.0","","M","XXX-XX-3308"
"Makana Health","Green","Charles","","","Patient","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","1971-06-12","false","","A02497658","","","A02497658","TOLEDO_STAR","200040.0","","M","XXX-XX-9878"
"Makana Health","Green","Charles","","","Patient","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","1971-06-12","false","","A02497658","","","A02497658","TOLEDO_STAR","200010.0","","M","XXX-XX-7382"
"Makana Health","Green","Grace","","","Patient","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","2003-12-31","false","","A00342616","","","A00342616","TOLEDO_STAR","200029.0","","F","XXX-XX-1415"
"Makana Health","Green","Charles","","","Patient","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","1971-06-12","false","","A02497658","","","A02497658","TOLEDO_STAR","200032.0","","M","XXX-XX-4239"
"Makana Health","Green","Grace","","","Patient","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","2003-12-31","false","","A00342616","","","A00342616","TOLEDO_STAR","200037.0","","F","XXX-XX-0268"
"Makana Health","Green","Grace","","","Patient","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","2003-12-31","false","","A00342616","","","A00342616","TOLEDO_STAR","200015.0","","F","XXX-XX-4526"
"Makana Health","Green","Grace","","","Patient","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","2003-12-31","false","","A00342616","","","A00342616","TOLEDO_STAR","200033.0","","F","XXX-XX-9924"
"Makana Health","Green","Grace","","","Patient","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","2003-12-31","false","","A00342616","","","A00342616","TOLEDO_STAR","200047.0","","F","XXX-XX-3015"
"Makana Health","Green","Charles","","","Patient","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","1971-06-12","false","","A02497658","","","A02497658","TOLEDO_STAR","200022.0","","M","XXX-XX-9378"
"Makana Health","Green","Charles","","","Patient","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","1971-06-12","false","","A02497658","","","A02497658","TOLEDO_STAR","200028.0","","M","XXX-XX-7048"
"Makana Health","Green","Grace","","","Patient","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","2003-12-31","false","","A00342616","","","A00342616","TOLEDO_STAR","200045.0","","F","XXX-XX-7008"
"Makana Health","Green","Grace","","","Patient","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","2003-12-31","false","","A00342616","","","A00342616","TOLEDO_STAR","200061.0","","F","XXX-XX-9317"
